TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,
2,0.10,0.10,1.00,0.10,0.10,0.00000005,1000,
3,0.10,0.10,1.00,0.10,0.10,0.00000005,1000,
52,0.10,0.60,1.00,0.10,0.10,0.00000005,1000,
41,0.10,0.50,1.00,0.10,0.10,0.00000005,1000,
22,0.10,0.30,1.00,0.10,0.10,0.00000005,1000,
191,0.10,1.00,0.90,0.10,0.10,0.00000005,1000,
202,0.10,0.10,0.80,0.10,0.10,0.00000005,1000,
1,0.10,0.10,1.00,0.10,0.10,0.00000005,1000,
53,0.10,0.60,1.00,0.10,0.10,0.00000005,1000,
252,0.10,0.60,0.80,0.10,0.10,0.00000005,1000,
91,0.10,1.00,1.00,0.10,0.10,0.00000005,1000,
291,0.10,1.00,0.80,0.10,0.10,0.00000005,1000,
62,0.10,0.70,1.00,0.10,0.10,0.00000005,1000,
294,0.10,1.00,0.80,0.10,0.10,0.00000005,1000,
283,0.10,0.90,0.80,0.10,0.10,0.00000005,1000,
293,0.10,1.00,0.80,0.10,0.10,0.00000005,1000,
411,0.10,0.20,0.60,0.10,0.10,0.00000005,1000,
351,0.10,0.60,0.70,0.10,0.10,0.00000005,1000,
372,0.10,0.80,0.70,0.10,0.10,0.00000005,1000,
