TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,158,0,5,0,0,0,7,0,0,0,22,0,0,24,0,434,2,0,0,0,0,0,290,0,0,
3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,67,0,14,0,19,0,0,0,0,158,0,0,0,0,0,12,6,0,0,14,0,0,61,1,446,1,0,0,0,0,0,260,0,0,
52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,73,0,0,6,0,0,0,0,0,161,0,0,0,0,0,4,0,0,0,51,0,0,34,0,445,1,0,0,0,0,0,285,0,0,
41,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,108,0,0,17,9,0,0,0,0,167,0,0,0,0,0,16,0,0,0,39,0,0,34,3,415,1,0,0,0,0,0,206,0,0,
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,73,9,0,0,8,0,0,0,0,151,0,1,0,0,0,6,8,0,0,26,0,0,39,4,480,0,0,0,0,0,1,262,0,0,
191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,56,0,0,0,5,0,0,0,0,154,0,0,0,0,0,5,0,0,0,27,0,0,69,2,420,1,0,0,0,0,1,281,0,0,
202,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,0,31,0,0,9,6,0,0,0,0,170,0,0,0,0,0,7,0,0,0,108,0,0,46,1,358,3,0,0,0,0,0,274,0,0,
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,27,0,0,0,0,184,0,0,0,0,0,12,16,0,0,29,0,0,83,2,429,1,0,0,0,0,0,207,0,5,
53,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,42,0,0,0,7,0,0,0,0,215,0,6,0,0,0,16,0,0,0,32,0,0,36,0,396,2,0,0,0,0,0,260,0,0,
252,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,50,0,0,7,16,0,0,0,0,257,0,8,0,0,0,12,0,0,0,57,0,0,27,2,369,2,0,0,0,0,0,221,0,0,
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,56,0,0,8,0,0,0,0,0,176,0,20,0,0,0,16,0,0,0,50,0,0,53,0,460,1,0,0,0,0,0,240,0,0,
291,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,6,11,0,0,0,0,167,0,0,0,0,0,6,0,0,0,40,0,0,25,2,428,1,0,0,0,0,9,276,0,4,
62,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,130,0,47,0,0,0,9,0,0,0,21,0,0,24,3,459,4,0,0,0,0,0,280,0,0,
294,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,12,0,0,0,0,147,0,0,0,0,0,4,16,0,0,34,0,0,55,0,472,2,0,0,0,0,0,235,0,0,
283,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,24,0,0,14,21,0,0,0,0,217,0,13,0,0,0,2,0,0,0,36,0,0,45,0,408,3,0,0,0,0,0,254,0,0,
293,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,99,0,0,15,6,0,0,0,0,144,0,16,0,0,0,10,0,0,0,53,0,0,13,1,452,3,0,0,0,0,0,230,0,0,
411,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,49,0,0,0,3,0,0,0,0,121,0,7,0,0,0,11,3,0,0,31,0,0,93,1,490,3,0,0,0,0,0,240,0,0,
351,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,34,0,0,0,0,135,0,3,0,0,0,0,12,0,0,54,0,0,33,0,456,0,0,0,0,0,0,279,0,0,
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,68,0,0,0,10,0,0,0,0,205,0,10,0,0,0,8,0,0,0,21,0,0,42,1,453,0,0,0,0,0,0,249,0,0,
