TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
22,18,422,67,70,1185,0,0,0,538,289,1268,162,277,277,289,0,67,0,67,0,0,64,0,112,0,122,140,607,0,0,67,222,254,18,303,1440,0,54,555,226,0,0,163,0,0,484,847,692,1510,0,0,0,223,683,225,0,117,
222,13,427,69,62,1110,0,0,0,526,286,1163,155,276,276,286,0,69,0,63,0,0,112,0,63,0,102,111,560,0,0,63,223,307,13,329,1291,0,71,469,234,0,0,216,0,0,505,872,688,1432,0,0,0,205,677,258,0,140,
11,12,428,68,62,1173,0,0,0,597,288,1217,158,313,313,288,0,68,0,63,0,0,58,0,90,0,108,108,614,0,0,63,225,280,12,284,1355,0,60,470,264,0,0,192,0,0,530,820,652,1437,0,0,0,253,712,245,0,58,
31,15,423,61,64,1184,0,0,0,618,286,1266,154,311,311,286,0,61,0,64,0,0,64,0,42,0,121,128,720,0,0,64,222,211,15,340,1383,0,58,498,276,0,0,255,0,0,652,840,667,1506,0,0,0,253,730,274,0,110,
312,18,461,62,67,1156,0,0,0,659,284,1145,155,337,337,284,0,62,0,62,0,0,174,0,86,0,114,132,683,0,0,62,222,242,18,380,1302,0,75,443,272,0,0,212,0,0,562,782,586,1331,0,0,0,262,783,304,0,192,
34,12,459,61,67,1217,0,0,0,569,288,1178,155,309,321,288,0,61,0,65,0,0,103,0,70,0,128,132,738,0,0,65,223,223,12,383,1419,0,95,492,309,0,0,225,0,0,628,821,617,1400,0,0,0,220,713,316,0,133,
111,14,467,63,66,1162,0,0,0,627,285,1277,155,323,323,285,0,63,0,63,0,0,111,0,77,0,123,137,756,0,0,63,222,239,14,354,1300,0,62,424,269,0,0,219,0,0,684,989,625,1667,0,0,0,261,771,288,0,138,
131,17,537,65,63,1166,0,0,0,552,295,1196,159,306,306,295,0,65,0,67,0,0,96,0,109,1,109,132,598,0,0,67,228,235,17,249,1353,0,101,484,178,2,0,176,0,0,559,818,635,1408,2,0,0,205,783,236,0,102,
12,15,382,63,66,1172,0,0,0,504,285,1237,160,260,260,285,0,63,0,64,0,0,81,0,72,16,110,101,538,0,0,64,221,309,15,279,1409,0,49,523,200,16,0,191,0,0,471,803,787,1431,24,0,0,211,626,229,0,104,
221,21,405,65,68,1129,0,0,0,531,287,1205,152,267,267,287,0,65,0,66,0,0,43,0,72,0,125,138,563,0,0,66,221,246,21,271,1331,0,50,507,220,0,0,176,0,0,454,821,718,1433,0,0,0,217,669,234,0,61,
102,14,397,62,65,1190,0,0,0,510,284,1196,151,268,268,284,0,62,0,63,0,0,49,0,77,0,127,141,720,0,0,63,221,231,14,300,1429,0,76,523,258,0,0,194,0,0,633,805,702,1401,0,0,0,192,639,256,0,60,
232,13,399,61,64,1150,0,0,0,530,290,1198,154,273,273,290,0,61,0,68,0,0,39,0,66,2,114,132,575,0,0,68,222,268,13,247,1347,0,55,490,234,2,0,169,0,0,500,839,686,1441,6,0,0,218,656,240,0,32,
3,18,466,63,63,1193,0,0,0,676,286,1230,158,321,326,286,0,63,0,65,0,0,116,0,114,0,103,121,554,0,0,65,221,231,18,333,1373,0,41,467,231,0,0,175,0,0,466,780,679,1409,0,0,0,285,816,281,0,130,
211,12,394,67,62,1149,0,0,0,592,285,1183,153,278,278,285,0,67,0,61,0,0,60,0,30,0,106,108,661,0,0,61,224,241,12,287,1384,0,36,522,243,0,0,238,0,0,617,714,654,1303,0,0,0,242,708,238,0,87,
201,21,458,70,63,1172,0,0,0,614,283,1194,155,304,304,283,0,70,0,62,0,0,58,0,49,0,133,154,788,0,0,62,221,236,21,362,1384,0,44,495,310,0,0,252,0,0,679,770,651,1365,0,0,0,260,768,309,0,72,
323,12,522,63,61,1112,0,0,0,657,284,1227,152,308,308,284,0,63,0,63,0,0,95,0,111,0,110,122,611,0,0,63,221,241,12,312,1277,0,73,459,224,0,0,183,0,0,544,861,671,1493,0,0,0,235,857,245,0,120,
314,12,354,66,67,1134,0,0,0,546,293,1169,157,283,283,293,0,66,0,62,0,0,40,0,57,0,122,134,721,0,0,62,231,301,12,268,1326,0,45,489,245,0,0,250,0,0,658,867,684,1437,0,0,0,238,617,221,0,31,
