TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
11,0.10,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
2,0.10,0.00,0.10,0.10,1.00,0.000000050,1000,0.00,
21,0.10,0.20,0.10,0.10,1.00,0.000000050,1000,0.00,
22,0.10,0.20,0.10,0.10,1.00,0.000000050,1000,0.00,
32,0.10,0.30,0.10,0.10,1.00,0.000000050,1000,0.00,
31,0.10,0.30,0.10,0.10,1.00,0.000000050,1000,0.00,
41,0.10,0.40,0.10,0.10,1.00,0.000000050,1000,0.00,
51,0.10,0.50,0.10,0.10,1.00,0.000000050,1000,0.00,
12,0.10,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
62,0.10,0.60,0.10,0.10,1.00,0.000000050,1000,0.00,
71,0.10,0.70,0.10,0.10,1.00,0.000000050,1000,0.00,
61,0.10,0.60,0.10,0.10,1.00,0.000000050,1000,0.00,
81,0.10,0.80,0.10,0.10,1.00,0.000000050,1000,0.00,
91,0.10,0.90,0.10,0.10,1.00,0.000000050,1000,0.00,
101,0.10,1.00,0.10,0.10,1.00,0.000000050,1000,0.00,
102,0.10,1.00,0.10,0.10,1.00,0.000000050,1000,0.00,
102,0.10,0.00,0.10,0.10,0.90,0.000000050,1000,0.00,
111,0.10,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
132,0.10,0.30,0.10,0.10,0.90,0.000000050,1000,0.00,
101,0.10,0.00,0.10,0.10,0.90,0.000000050,1000,0.00,
142,0.10,0.40,0.10,0.10,0.90,0.000000050,1000,0.00,
42,0.10,0.40,0.10,0.10,1.00,0.000000050,1000,0.00,
131,0.10,0.30,0.10,0.10,0.90,0.000000050,1000,0.00,
151,0.10,0.50,0.10,0.10,0.90,0.000000050,1000,0.00,
121,0.10,0.20,0.10,0.10,0.90,0.000000050,1000,0.00,
162,0.10,0.60,0.10,0.10,0.90,0.000000050,1000,0.00,
