TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
11,12,356,64,61,1189,0,0,0,534,287,1216,155,258,258,287,0,58,0,65,0,0,60,0,9,0,119,129,717,0,0,65,222,51,12,274,1458,0,21,552,254,0,0,187,0,0,617,784,257,1398,0,0,0,237,632,0,0,59,
2,11,473,67,65,1186,0,0,0,533,292,1237,161,299,299,292,0,47,0,61,0,0,82,0,25,0,107,118,666,0,0,61,231,64,11,335,1424,0,81,528,272,0,0,175,0,0,529,737,221,1367,0,0,0,218,707,0,0,103,
21,15,474,66,62,1192,0,0,0,573,290,1174,151,297,297,290,0,49,0,65,0,0,87,0,30,0,107,117,539,0,0,65,225,75,15,259,1403,0,90,499,208,0,0,168,0,0,442,805,209,1382,0,0,0,207,750,8,0,69,
22,13,395,62,67,1198,0,0,0,562,292,1212,151,277,277,292,0,43,0,67,0,0,61,0,10,8,110,123,683,0,0,67,225,69,13,334,1426,0,48,517,283,16,0,189,0,0,540,820,220,1437,16,0,0,229,680,10,0,76,
32,11,441,64,67,1167,0,0,0,599,283,1202,155,309,309,283,0,58,0,61,0,0,64,0,9,0,125,131,684,0,0,61,222,81,11,332,1349,0,72,464,258,0,0,167,0,0,550,842,249,1444,0,0,0,237,731,6,0,93,
31,14,442,67,62,1170,0,0,0,574,292,1207,156,305,305,292,0,67,0,67,0,0,90,0,36,0,129,137,667,0,0,67,225,79,14,307,1348,0,85,467,239,0,0,175,0,0,550,848,247,1457,0,0,0,220,711,0,0,88,
41,12,433,65,68,1212,0,0,0,612,289,1228,155,304,304,289,0,53,0,66,0,0,55,0,12,5,120,120,740,0,0,66,223,91,12,293,1436,0,46,511,248,5,0,199,0,0,631,767,219,1396,10,0,0,258,741,0,0,68,
51,15,380,69,61,1122,0,0,0,571,287,1188,154,295,295,287,0,30,0,64,0,0,35,0,5,8,90,95,657,0,0,64,223,78,15,284,1313,0,46,478,245,16,0,195,0,0,543,855,238,1448,16,0,0,249,656,13,0,58,
12,12,529,68,63,1175,0,0,0,584,285,1187,151,306,317,285,0,45,0,64,0,0,121,0,16,0,108,115,621,0,0,64,221,59,12,288,1380,0,89,489,230,0,0,123,0,0,505,769,219,1362,0,0,0,228,807,4,0,116,
62,15,457,63,65,1153,0,0,0,595,290,1203,154,304,304,290,0,61,0,61,0,0,65,0,11,0,126,134,574,0,0,61,229,51,15,233,1345,0,72,481,209,0,0,150,0,0,457,813,243,1421,0,0,0,232,748,0,0,60,
71,11,488,63,64,1107,0,0,0,566,286,1238,152,290,291,286,0,35,0,63,0,0,92,0,20,0,99,100,574,0,0,63,223,56,11,306,1301,0,84,479,218,0,0,169,0,0,492,848,243,1493,0,0,0,207,763,20,0,122,
61,12,435,64,64,1183,0,0,0,503,285,1255,154,276,276,285,0,60,0,64,0,0,84,0,20,0,124,121,651,0,0,64,221,77,12,296,1434,0,63,534,254,0,0,184,0,0,526,842,230,1498,0,0,0,213,662,0,0,116,
81,11,515,66,69,1175,0,0,0,666,292,1194,152,322,322,292,0,50,0,61,0,0,94,0,37,4,112,110,574,0,0,61,231,79,11,283,1346,0,63,461,224,8,0,156,0,0,453,782,242,1380,8,0,0,259,859,5,0,104,
91,12,386,68,64,1187,0,0,0,521,286,1182,154,276,276,286,0,47,0,65,0,0,113,0,20,0,107,119,592,0,0,65,221,75,12,297,1439,0,54,537,244,0,0,146,0,0,452,727,209,1310,0,0,0,222,631,6,0,95,
101,14,392,61,61,1160,0,0,0,640,285,1165,152,310,310,285,0,49,0,63,0,0,63,0,36,3,102,107,681,0,0,63,222,67,14,307,1307,0,31,430,252,6,0,207,0,0,596,870,246,1440,6,0,0,279,722,0,0,81,
102,11,533,64,65,1142,0,0,0,597,291,1150,155,317,327,291,0,39,0,70,0,0,64,0,5,0,100,111,588,0,0,70,221,88,11,255,1250,0,92,399,197,0,0,148,0,0,487,848,270,1402,0,0,0,235,803,6,0,92,
102,13,402,68,66,1133,0,0,0,529,291,1174,156,275,275,291,0,54,0,68,0,0,79,0,24,0,116,119,569,0,0,68,223,63,13,261,1309,0,59,466,219,0,0,156,0,0,461,854,282,1427,0,0,0,216,656,0,0,79,
111,17,376,62,61,1228,0,0,0,565,282,1193,151,277,277,282,0,57,0,61,0,0,34,0,12,0,118,120,629,0,0,61,221,78,17,264,1473,0,32,527,231,0,0,150,0,0,494,761,209,1358,0,0,0,254,655,19,0,60,
132,13,440,70,63,1230,0,0,0,581,296,1205,151,303,303,296,0,56,0,67,0,0,64,0,6,7,114,110,622,0,0,67,229,69,13,252,1451,0,72,517,227,14,0,180,0,0,513,822,201,1432,14,0,0,231,718,0,0,60,
101,15,430,61,67,1134,0,0,0,548,286,1132,152,287,287,286,0,54,0,63,0,0,109,0,17,0,121,105,570,0,0,63,223,44,15,239,1320,0,53,469,173,0,0,139,0,0,485,840,237,1378,0,0,0,234,691,6,0,126,
142,18,359,62,62,1146,0,0,0,527,293,1198,153,279,279,293,0,50,0,67,0,0,91,0,0,0,112,130,764,0,0,67,226,79,18,306,1374,0,57,520,262,0,0,209,0,0,648,836,230,1440,0,0,0,222,607,9,0,101,
42,13,353,66,64,1156,0,0,0,509,286,1190,153,267,267,286,0,53,0,65,0,0,105,0,20,0,117,130,634,0,0,65,221,90,13,325,1393,0,52,519,249,0,0,179,0,0,513,756,246,1348,0,0,0,215,595,23,0,127,
131,13,440,67,62,1099,0,0,0,537,284,1194,155,268,271,284,0,52,0,63,0,0,73,0,0,0,114,127,609,0,0,63,221,45,13,254,1281,0,80,465,212,0,0,156,0,0,496,899,250,1487,0,0,0,191,706,7,0,76,
151,14,387,65,63,1109,0,0,0,549,287,1211,156,284,284,287,0,52,0,61,0,0,62,0,6,7,115,129,698,0,0,61,226,72,14,285,1299,0,55,474,234,14,0,206,0,0,593,871,242,1481,14,0,0,229,652,9,0,89,
121,13,557,63,66,1245,0,0,0,769,295,1195,154,387,387,295,0,60,0,73,0,0,67,0,16,0,126,128,818,0,0,73,222,57,13,351,1348,0,85,395,296,0,0,216,0,0,667,838,193,1437,0,0,0,302,939,0,0,97,
162,12,474,67,64,1184,0,0,0,681,286,1290,156,324,324,286,0,67,0,64,0,0,109,0,4,0,131,138,765,0,0,64,222,54,12,367,1376,0,31,477,309,0,0,242,0,0,637,901,192,1588,0,0,0,293,831,4,0,125,
72,11,334,63,62,1147,0,0,0,475,286,1228,152,249,249,286,0,49,0,63,0,0,36,0,12,0,111,116,580,0,0,63,223,103,11,286,1397,0,58,534,244,0,0,134,0,0,436,838,283,1469,0,0,0,191,560,0,0,78,
82,14,390,63,67,1122,0,0,0,541,289,1230,156,285,285,289,0,45,0,65,0,0,59,0,38,0,112,116,678,0,0,65,224,85,14,300,1321,0,42,484,268,0,0,178,0,0,536,878,254,1506,0,0,0,243,646,0,0,75,
172,13,497,64,62,1150,0,0,0,634,295,1190,153,327,327,295,0,58,0,69,0,0,50,0,13,0,120,133,718,0,0,69,226,93,13,282,1274,0,85,416,254,0,0,159,0,0,600,861,252,1451,0,0,0,242,804,0,0,56,
92,17,375,64,67,1068,0,0,0,579,293,1191,156,288,288,293,0,38,0,66,0,0,42,0,14,0,105,102,626,0,0,66,227,84,17,273,1243,0,40,467,240,0,0,213,0,0,567,812,255,1404,0,0,0,248,666,0,0,43,
191,12,456,66,64,1171,0,0,0,638,287,1189,156,315,315,287,0,49,0,63,0,0,70,0,29,10,113,125,568,5,0,63,224,115,12,259,1327,0,56,442,195,5,0,165,0,0,451,854,263,1443,10,0,0,259,779,0,0,77,
182,16,417,66,67,1116,0,0,0,590,290,1176,151,300,309,290,0,66,0,65,0,0,58,0,10,0,133,146,732,0,0,65,225,42,16,331,1253,0,60,426,279,0,0,201,0,0,592,859,286,1442,0,0,0,249,698,8,0,82,
122,12,365,63,62,1156,0,0,0,567,286,1181,153,297,297,286,0,49,0,61,0,0,21,0,5,0,111,123,676,0,0,61,225,77,12,239,1350,0,38,479,229,0,0,221,0,0,584,790,239,1374,0,0,0,259,635,0,0,21,
