TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
1,11,405,63,65,1161,0,0,0,597,285,1225,154,291,302,285,0,57,0,62,0,0,63,0,18,18,122,114,564,0,0,62,223,47,11,268,1371,0,50,494,212,36,0,177,0,0,474,846,216,1471,36,0,0,252,700,0,0,63,
11,13,442,63,68,1209,0,0,0,632,290,1172,151,333,333,290,0,53,0,65,0,0,88,0,9,9,121,134,671,0,0,65,225,36,13,325,1382,0,63,461,274,9,0,210,0,0,546,714,195,1293,9,0,0,270,741,0,0,95,
32,11,372,61,61,1145,0,0,0,564,293,1202,156,280,280,293,0,47,0,63,0,0,134,0,44,8,107,105,552,0,0,63,230,84,11,312,1381,0,60,529,200,16,0,201,0,0,481,846,240,1445,16,0,0,220,656,0,0,178,
21,19,452,66,62,1145,0,0,0,624,286,1169,153,311,311,286,0,45,0,65,0,0,56,0,18,0,105,116,635,0,0,65,221,63,19,292,1330,0,54,467,259,0,0,157,0,0,489,745,251,1320,0,0,0,257,765,10,0,48,
31,14,410,66,65,1114,0,0,0,513,292,1176,155,286,286,292,0,57,0,61,0,0,96,0,10,0,122,131,618,0,0,61,231,41,14,319,1316,0,80,488,253,0,0,184,0,0,501,828,233,1402,0,0,0,206,637,0,0,112,
22,15,461,61,68,1128,0,0,0,623,282,1233,151,300,300,282,0,49,0,61,0,0,95,0,10,6,113,114,596,0,0,61,221,82,15,265,1316,0,46,462,241,12,0,193,0,0,477,875,235,1514,12,0,0,254,784,10,0,87,
2,16,426,62,67,1248,0,0,0,641,290,1248,151,322,322,290,0,46,0,67,0,0,51,0,7,0,113,118,733,0,0,67,223,83,16,323,1465,0,56,503,286,0,0,196,0,0,588,790,174,1446,0,0,0,266,745,0,0,58,
12,12,460,61,62,1160,0,0,0,604,284,1172,154,300,300,284,0,61,0,63,0,0,53,0,30,5,123,135,624,0,0,63,221,57,12,274,1364,0,59,485,249,10,0,181,0,0,508,818,256,1395,10,0,0,241,764,0,0,58,
52,15,365,61,68,1170,0,0,0,568,284,1243,156,286,286,284,0,53,0,61,0,0,32,0,0,1,121,122,686,0,0,61,223,47,15,305,1402,0,30,515,273,2,0,210,0,0,552,778,216,1420,2,0,0,256,647,8,0,40,
61,11,472,61,63,1209,0,0,0,677,288,1240,154,336,336,288,0,39,0,65,0,0,41,0,0,18,97,102,557,0,0,65,223,37,11,207,1375,0,47,452,157,37,0,204,0,0,499,850,226,1493,36,0,0,289,813,13,0,58,
