TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,60,0,0,19,15,0,0,0,0,209,0,0,0,0,0,2,0,0,0,49,0,0,42,0,445,0,0,0,0,0,0,261,0,0,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,70,0,0,0,28,0,0,0,0,169,0,2,0,0,0,4,0,0,0,37,0,0,52,0,421,0,9,0,0,0,0,279,0,0,
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,36,0,2,13,26,0,0,0,0,164,0,0,0,0,0,0,0,0,0,15,0,0,74,0,462,0,0,0,0,0,0,244,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,42,0,4,8,20,0,0,0,0,191,0,21,0,0,0,24,0,0,0,34,0,0,44,0,386,0,0,0,0,0,0,272,0,0,
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,58,0,0,5,17,0,0,0,0,199,0,0,0,0,0,12,4,0,0,30,0,0,54,0,437,0,0,0,0,0,0,272,0,0,
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,116,0,4,14,5,0,0,0,0,132,0,6,0,0,0,50,0,0,0,26,0,0,76,0,429,0,0,0,0,0,0,205,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,55,0,0,11,12,0,0,0,0,86,0,0,0,0,0,13,29,0,0,23,0,0,26,0,465,0,0,0,0,0,0,295,0,0,
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,36,0,0,0,0,216,0,33,0,0,0,13,6,0,0,17,0,0,38,0,393,0,0,0,0,0,0,257,0,10,
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,34,0,0,14,4,0,0,0,0,175,0,0,0,0,0,2,14,0,0,28,0,0,61,0,444,0,0,0,0,0,0,281,0,0,
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,71,0,10,6,15,0,0,0,0,203,0,0,0,0,0,4,10,10,0,71,0,0,73,0,398,0,11,0,0,0,0,178,0,6,
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,68,0,14,14,17,0,0,0,0,161,0,10,0,0,0,11,0,0,0,20,0,0,50,0,438,0,0,0,0,0,0,264,0,0,
42,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,27,0,0,0,0,0,0,37,0,0,0,5,0,0,0,0,204,0,8,0,0,0,2,0,0,0,27,0,0,60,0,445,0,0,0,0,0,0,281,0,0,
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,54,0,0,31,14,0,0,0,0,194,0,2,0,0,0,4,0,0,0,37,0,0,50,0,492,0,0,0,0,0,0,210,0,0,
72,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,54,0,0,20,28,0,0,0,0,152,0,7,0,0,0,8,3,0,0,33,0,0,67,0,442,0,0,0,0,0,0,258,0,0,
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,54,0,0,13,33,0,0,0,0,187,0,5,0,0,0,4,0,0,0,34,0,0,64,0,451,0,0,0,0,0,0,267,0,0,
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,23,22,0,0,0,0,162,0,0,0,0,0,4,0,0,0,53,0,0,18,0,443,0,0,0,0,0,0,278,0,14,
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,96,0,0,12,13,0,0,0,0,159,0,16,0,0,0,4,6,0,0,13,0,0,33,0,477,0,0,0,0,0,0,231,0,0,
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,76,0,18,0,23,0,0,0,0,132,0,0,0,0,0,0,22,0,0,19,0,0,35,0,500,0,0,0,0,0,0,257,0,0,
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,74,0,0,0,15,0,0,0,0,159,0,17,0,0,0,16,0,0,0,40,0,0,72,0,425,0,9,0,0,0,0,210,0,0,
81,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,32,0,0,0,0,0,0,19,0,2,0,4,0,0,0,0,151,0,34,0,0,0,19,5,0,0,41,0,0,65,0,479,0,0,0,0,0,0,239,0,0,
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,107,0,0,10,0,0,0,0,0,175,0,0,0,0,0,6,4,0,0,52,0,0,63,0,382,0,0,0,0,0,0,251,0,0,
