TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
1,2.00,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
12,2.00,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
21,2.00,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
11,2.00,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
42,2.00,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
2,2.00,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
22,2.00,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
31,2.00,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
32,2.00,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
41,2.00,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
51,2.00,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
81,2.00,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
71,2.00,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
82,2.00,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
61,2.00,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
102,2.00,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
92,2.00,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
52,2.00,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
72,2.00,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
112,2.00,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
111,2.00,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
101,2.00,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
91,2.00,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
132,2.00,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
122,2.00,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
121,2.00,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
141,2.00,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
131,2.00,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
151,2.00,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
142,2.00,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
161,2.00,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
162,2.00,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
181,2.00,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
152,2.00,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
171,2.00,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
172,2.00,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
192,2.00,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
191,2.00,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
202,2.00,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
102,1.90,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
182,2.00,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
112,1.90,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
201,2.00,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
101,1.90,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
122,1.90,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
111,1.90,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
142,1.90,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
152,1.90,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
162,1.90,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
131,1.90,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
141,1.90,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
121,1.90,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
151,1.90,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
161,1.90,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
192,1.90,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
172,1.90,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
191,1.90,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
182,1.90,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
1102,1.90,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
1112,1.90,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
1122,1.90,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
1142,1.90,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
181,1.90,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
1152,1.90,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
1121,1.90,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
1132,1.90,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
1101,1.90,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
1161,1.90,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
1111,1.90,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
1151,1.90,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
1131,1.90,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
1141,1.90,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
1172,1.90,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
1171,1.90,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
1182,1.90,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
1181,1.90,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
202,1.80,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
1201,1.90,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
1191,1.90,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
1202,1.90,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
201,1.80,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
212,1.80,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
211,1.80,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
242,1.80,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
232,1.80,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
262,1.80,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
222,1.80,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
221,1.80,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
282,1.80,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
272,1.80,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
252,1.80,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
231,1.80,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
292,1.80,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
271,1.80,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
2102,1.80,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
251,1.80,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
2111,1.80,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
2101,1.80,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
261,1.80,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
2122,1.80,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
2132,1.80,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
2142,1.80,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
2121,1.80,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
2131,1.80,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
2182,1.80,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
291,1.80,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
2162,1.80,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
2172,1.80,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
241,1.80,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
2152,1.80,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
2161,1.80,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
2141,1.80,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
2171,1.80,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
2151,1.80,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
2192,1.80,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
2181,1.80,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
2191,1.80,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
302,1.70,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
332,1.70,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
312,1.70,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
2202,1.80,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
352,1.70,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
2201,1.80,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
322,1.70,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
342,1.70,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
381,1.70,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
382,1.70,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
