TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,69,0,18,3,0,0,0,0,0,136,0,26,0,0,0,0,15,0,55,21,0,0,8,0,35,0,0,0,0,0,0,647,0,0,
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,123,0,0,20,6,0,0,0,0,154,0,6,0,0,0,0,0,0,43,0,0,0,0,0,117,0,0,0,0,0,0,574,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,180,0,0,21,0,0,0,0,0,84,0,0,0,0,0,0,0,5,46,7,0,0,10,0,139,0,0,0,0,0,0,572,0,0,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,67,0,0,0,7,0,0,0,0,89,0,14,0,0,0,0,0,0,56,12,0,0,21,0,88,0,0,0,0,0,0,691,0,0,
42,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,18,0,38,0,0,0,0,0,94,0,0,0,0,0,0,683,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,81,0,0,16,0,0,0,0,0,115,0,0,0,0,0,0,0,0,62,28,5,0,0,0,63,0,0,0,0,0,0,681,0,0,
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,72,0,0,7,11,0,0,0,0,107,0,5,0,0,0,0,0,0,28,0,0,0,6,0,138,0,0,0,0,0,0,674,0,0,
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,86,0,0,7,22,0,0,0,0,116,0,0,0,0,0,0,0,0,26,0,0,0,44,0,100,0,0,0,0,0,0,666,0,0,
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,215,0,10,6,0,0,0,0,0,80,0,9,0,0,0,0,5,0,36,24,0,10,0,0,115,0,0,0,0,0,0,544,0,0,
41,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,27,6,0,0,0,0,69,0,0,0,0,0,0,18,0,38,26,0,0,4,0,119,0,0,0,0,0,0,658,0,0,
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,110,0,0,19,0,0,0,0,0,72,0,0,0,0,0,0,10,0,32,23,0,8,4,0,127,0,0,0,0,0,0,638,0,0,
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,102,0,0,0,7,0,0,0,0,73,0,22,0,0,0,0,0,0,64,0,6,0,9,0,96,0,0,0,0,0,0,665,0,0,
71,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,141,0,0,24,0,0,0,0,0,81,0,9,0,0,0,0,7,0,40,9,0,0,25,0,102,0,0,0,0,0,0,609,0,0,
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,129,0,0,0,7,0,0,0,0,95,0,6,0,0,0,0,0,0,37,0,0,0,12,0,153,0,0,0,0,0,0,629,0,0,
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,164,0,0,11,2,0,0,0,0,113,0,6,0,0,0,0,5,0,34,0,0,0,0,0,127,0,0,0,0,0,0,579,0,7,
102,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,28,0,0,0,0,0,0,111,0,0,0,4,0,0,0,0,97,0,0,0,0,0,2,0,0,48,0,0,0,0,0,93,0,0,0,0,0,0,647,0,0,
92,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,106,0,0,13,0,0,0,0,0,118,0,15,0,0,0,4,0,0,45,18,0,0,0,0,110,0,0,0,0,0,0,615,0,0,
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,175,0,0,7,8,0,0,0,0,53,0,9,0,0,0,0,0,0,55,22,8,0,14,0,115,0,0,0,0,0,0,568,0,0,
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,85,0,15,0,0,0,0,0,0,49,0,0,0,0,0,161,0,0,0,0,0,0,598,0,0,
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,12,13,0,0,0,0,67,0,6,0,0,0,0,0,0,32,31,0,0,0,0,98,0,6,0,0,0,0,668,0,0,
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,102,0,0,14,0,0,0,0,0,103,0,19,0,0,0,0,8,0,56,15,0,9,13,0,72,0,0,0,0,0,0,633,0,0,
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,122,0,8,0,0,0,0,0,0,90,0,14,0,0,0,0,22,0,36,37,0,0,0,0,70,0,0,0,0,0,0,653,0,0,
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,95,0,0,20,0,0,0,0,0,90,0,8,0,0,0,4,12,0,48,22,0,0,0,0,71,0,0,0,0,0,0,667,0,0,
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,103,0,0,14,6,0,0,0,0,107,0,0,0,0,0,0,0,0,66,0,0,0,0,0,130,0,0,0,0,0,0,651,0,0,
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,107,0,10,0,0,0,0,11,0,43,21,0,0,12,0,111,0,0,0,0,0,0,577,0,0,
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,22,5,0,0,0,0,56,0,0,0,0,0,0,17,0,63,15,0,0,11,0,116,0,0,0,0,0,0,598,0,0,
141,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,0,102,0,0,0,5,0,0,0,0,143,0,2,0,0,0,2,0,0,26,22,0,0,14,0,92,0,6,0,0,0,0,631,0,0,
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,140,0,0,0,22,0,0,0,0,83,0,0,0,0,0,2,0,0,53,25,0,14,0,0,59,0,0,0,0,0,0,629,0,0,
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,16,0,20,0,0,0,0,65,0,0,0,0,0,0,6,0,38,30,0,0,32,0,167,0,0,0,0,0,0,602,0,0,
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,96,0,0,8,0,0,0,0,0,117,0,2,0,0,0,2,0,0,60,0,4,0,5,0,113,0,0,0,0,0,0,640,0,0,
161,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,17,0,0,0,0,0,0,119,0,0,0,26,0,0,0,0,73,0,0,0,0,0,0,0,0,43,0,8,0,31,0,118,0,0,0,0,0,0,621,0,0,
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,100,0,10,21,17,0,0,0,0,100,0,0,0,0,0,0,0,0,30,8,3,0,0,0,128,0,0,0,0,0,0,634,0,0,
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,125,0,0,33,2,0,0,0,0,131,0,16,0,0,0,0,0,0,8,29,0,0,0,0,64,0,0,0,0,0,0,640,0,0,
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,10,23,0,0,0,0,135,0,0,0,0,0,0,9,0,42,27,0,0,12,0,99,0,0,0,0,0,0,543,0,0,
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,0,81,0,0,2,0,0,0,0,0,55,0,18,0,0,0,0,8,0,57,12,0,0,0,0,185,0,0,0,0,0,0,615,0,0,
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,130,0,0,6,0,0,0,0,10,52,0,8,0,0,0,0,14,0,62,34,7,0,0,0,95,0,0,0,0,0,0,643,0,0,
192,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,87,0,0,25,0,0,0,0,0,89,0,13,0,0,0,2,7,0,51,8,11,0,10,0,74,0,0,0,0,0,0,678,0,0,
191,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,155,0,30,10,9,0,0,0,0,88,0,9,0,0,0,2,11,0,37,0,0,0,0,0,119,0,0,0,0,0,0,607,0,0,
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,95,0,0,24,0,0,0,0,0,46,0,8,0,0,0,0,4,0,35,30,0,0,22,0,125,0,0,0,0,0,0,659,0,0,
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,97,0,0,0,27,0,0,0,0,118,0,4,0,0,0,0,33,5,41,47,7,0,26,0,55,0,0,0,0,0,0,620,0,0,
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,5,0,157,0,0,4,23,0,0,0,0,70,0,5,0,0,0,0,0,0,45,7,11,0,7,0,138,0,0,0,0,0,0,587,0,0,
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,117,0,0,10,6,0,0,0,0,143,0,14,0,0,0,0,14,0,35,25,3,0,32,0,29,0,0,0,0,0,0,617,0,0,
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,126,0,0,7,22,0,0,0,0,96,0,8,0,0,0,2,0,0,26,0,0,0,0,0,163,0,6,0,0,0,0,580,0,0,
101,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,12,0,120,0,0,0,0,0,0,0,0,139,0,10,0,0,0,0,7,0,13,31,0,4,26,0,20,0,0,0,0,0,0,660,0,8,
122,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,11,0,0,0,0,0,0,62,0,18,4,11,0,0,0,0,157,0,18,0,0,0,0,19,0,28,16,0,0,0,0,70,0,0,0,0,0,0,652,0,0,
111,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,18,0,0,0,0,0,0,68,10,0,9,14,0,0,0,0,91,0,17,0,0,0,0,7,0,45,55,7,0,7,0,53,0,0,0,0,0,0,652,0,0,
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,14,9,37,0,0,0,0,77,0,0,0,0,0,0,0,0,49,23,0,0,38,0,105,0,0,0,0,0,0,624,0,0,
