TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
2,15,690,68,66,1014,9,58,24,576,439,443,151,811,919,288,0,68,33,65,15,0,539,0,84,67,108,123,268,63,0,65,223,192,15,629,946,33,763,371,218,0,129,9,84,84,117,0,324,0,0,0,0,23,553,608,0,462,
1,14,834,69,68,1080,7,18,16,647,436,469,153,1008,1225,283,0,69,29,61,7,0,533,0,62,73,114,135,283,57,0,61,222,174,14,633,962,25,993,318,255,0,83,7,27,27,50,25,260,25,0,0,0,18,629,586,0,474,
11,13,714,62,64,995,0,79,37,593,887,446,597,873,994,290,0,62,37,67,28,0,539,0,70,64,126,154,239,52,0,67,223,241,13,625,472,37,802,364,216,12,143,36,52,52,80,0,316,0,6,0,0,47,546,564,0,501,
22,11,786,66,61,1050,10,84,63,611,881,445,598,959,1119,283,0,66,62,61,68,0,531,0,103,76,112,130,209,46,0,61,222,165,11,562,551,78,933,388,182,22,135,22,17,17,51,0,321,0,8,0,0,45,559,531,0,455,
32,14,775,65,65,1040,0,83,32,582,891,444,597,819,1017,294,0,65,41,67,28,0,471,0,168,138,114,139,203,127,0,67,227,175,14,572,596,41,871,448,167,0,98,24,37,37,68,0,349,0,0,0,0,32,550,571,0,450,
31,15,754,67,67,1052,0,76,22,619,889,447,599,911,1057,290,0,67,41,65,36,0,538,0,101,99,127,161,243,92,0,65,225,194,15,598,542,36,843,379,187,0,102,20,49,49,100,0,306,0,0,0,0,37,582,527,0,484,
52,18,707,64,63,1074,7,68,16,606,887,443,596,925,1070,291,0,64,9,67,35,0,545,0,135,72,127,149,206,64,0,67,224,209,18,589,591,9,828,404,181,0,120,0,54,43,55,0,316,0,0,0,0,52,542,515,0,466,
51,20,830,67,65,1099,40,84,150,599,879,442,596,1059,1311,283,0,67,99,62,123,0,601,0,126,91,119,167,262,84,0,62,221,163,20,652,663,154,1032,462,210,3,104,14,69,69,91,0,279,0,0,0,0,21,578,595,0,529,
12,18,778,61,65,1082,0,49,26,583,883,442,598,908,1087,285,0,61,19,62,8,0,490,0,71,130,121,170,263,87,0,62,223,193,18,621,615,26,883,417,217,9,125,9,64,64,89,0,311,0,9,0,0,19,556,586,0,451,
21,12,710,67,65,1224,0,37,16,603,904,452,613,902,1043,291,0,67,16,63,16,0,449,0,173,89,124,143,293,89,0,63,228,173,12,608,808,16,815,488,236,0,58,8,35,35,83,0,308,0,0,0,0,35,561,532,0,434,
72,14,728,65,62,1068,24,111,71,554,879,441,593,818,1005,286,0,65,71,63,47,0,436,0,90,77,121,151,205,64,0,63,223,184,14,509,614,95,850,441,172,24,103,47,47,47,95,0,331,0,0,0,0,0,554,475,0,393,
41,16,714,66,61,995,6,73,78,538,885,443,595,817,928,290,0,66,55,66,30,0,540,0,94,115,124,140,207,72,0,66,224,225,16,587,536,67,763,433,164,7,134,7,34,28,71,0,368,0,7,0,0,21,504,531,0,493,
61,17,810,65,64,1058,45,107,178,624,889,444,601,897,1067,288,0,65,162,62,75,0,534,0,112,81,118,148,272,66,0,62,226,155,17,606,597,241,870,445,178,16,133,16,40,31,96,0,288,0,0,0,0,19,605,585,0,498,
71,14,718,63,62,1047,12,152,63,551,888,448,602,777,898,286,0,63,46,61,73,0,432,0,171,139,121,124,249,125,0,61,225,198,14,529,632,63,762,486,195,35,194,63,84,76,108,0,408,0,13,0,0,13,526,492,0,404,
42,22,778,65,62,1090,4,34,30,578,881,441,595,946,1176,286,0,65,34,65,11,0,547,0,111,105,121,168,249,93,0,65,221,164,22,605,614,38,946,409,214,0,120,0,56,56,91,0,334,0,0,0,0,35,543,546,0,475,
81,13,762,64,68,1092,27,91,91,615,883,442,597,938,1135,286,0,64,47,61,87,0,575,0,145,130,115,128,226,123,0,61,225,116,13,617,647,91,885,458,151,0,62,17,38,38,98,0,329,0,0,0,0,44,571,553,0,531,
82,11,805,64,62,1079,22,111,102,596,889,448,605,858,1057,284,0,64,149,63,58,0,539,0,197,130,112,154,217,113,0,63,221,195,11,629,646,172,891,479,182,0,156,4,72,72,88,0,356,0,0,0,0,50,521,565,0,501,
