TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
2,15,690,68,66,1014,0,58,24,576,439,443,151,767,867,288,0,42,33,65,15,0,539,0,55,67,108,117,259,63,0,65,223,72,15,629,946,33,752,371,218,0,96,0,84,84,99,0,222,0,0,0,0,23,553,9,0,462,
1,14,834,69,68,1080,0,18,16,647,436,469,153,961,1119,283,0,46,29,61,7,0,533,0,45,73,114,122,278,57,0,61,222,60,14,631,962,25,977,318,247,0,27,7,27,27,50,25,196,25,0,0,0,18,621,0,0,474,
11,13,705,62,64,995,0,79,37,593,887,446,597,802,912,290,0,62,37,67,28,0,539,0,41,64,126,132,239,52,0,67,223,108,13,619,472,37,796,364,200,12,85,15,52,52,80,0,231,0,6,0,0,47,546,0,0,501,
22,11,786,66,61,1050,10,84,63,604,881,445,598,899,1085,283,0,51,62,61,60,0,531,0,41,76,112,130,209,46,0,61,222,91,11,562,551,72,928,388,167,22,37,22,17,17,21,0,201,0,8,0,0,45,559,0,0,455,
32,14,775,65,65,1040,0,83,32,582,891,444,597,765,994,294,0,49,41,67,28,0,471,0,93,138,114,137,198,127,0,67,227,61,14,572,596,32,871,446,159,0,50,0,37,37,68,0,211,0,0,0,0,32,550,6,0,450,
31,15,754,67,67,1052,0,76,22,619,889,447,599,869,985,290,0,60,36,65,36,0,538,0,35,99,127,150,243,81,0,65,225,80,15,579,542,22,818,379,187,0,71,0,49,49,86,0,220,0,0,0,0,37,582,11,0,484,
52,18,707,64,63,1074,0,63,16,594,887,443,596,846,1003,291,0,64,9,67,35,0,545,0,66,72,127,146,193,64,0,67,224,96,18,567,591,9,811,404,181,0,72,0,43,43,55,0,217,0,0,0,0,52,542,4,0,466,
51,20,830,67,65,1099,40,84,150,599,879,442,596,1009,1224,283,0,54,99,62,95,0,589,0,66,91,119,153,244,84,0,62,221,80,20,650,663,150,1020,462,210,3,73,6,69,69,76,0,209,0,0,0,0,21,578,12,0,529,
12,18,778,61,65,1082,0,42,26,575,883,442,598,800,1029,285,0,55,19,62,8,0,490,0,55,123,119,158,254,87,0,62,223,119,18,611,615,26,856,415,212,9,71,9,64,64,89,0,205,0,9,0,0,19,556,8,0,451,
21,12,710,67,65,1224,0,37,16,596,904,452,613,828,997,291,0,59,16,63,16,0,449,0,96,89,124,131,291,89,0,63,228,51,12,585,808,16,800,488,231,0,35,0,35,35,83,0,193,0,0,0,0,35,561,0,0,434,
72,14,728,65,62,1068,24,111,71,554,879,441,593,706,965,286,0,59,71,63,39,0,424,0,30,77,121,135,205,64,0,63,223,55,14,509,614,95,838,433,172,24,73,24,47,47,77,0,225,0,0,0,0,0,554,0,0,393,
41,16,714,66,61,995,6,61,64,525,885,443,595,771,864,290,0,63,55,66,30,0,540,0,77,106,124,129,207,72,0,66,224,106,16,570,536,67,756,431,155,7,39,7,28,28,71,0,258,0,7,0,0,21,504,8,0,493,
61,17,810,65,64,1058,31,107,178,624,889,444,601,831,985,288,0,54,156,62,63,0,534,0,69,81,118,140,267,66,0,62,226,92,17,606,597,241,870,445,178,16,71,16,31,31,84,0,180,0,0,0,0,19,605,10,0,485,
71,14,718,63,62,1047,12,152,63,539,888,448,602,666,877,286,0,49,46,61,63,0,432,0,81,139,101,124,239,125,0,61,225,116,14,529,632,63,762,484,195,35,127,60,76,76,99,0,274,0,13,0,0,13,526,6,0,404,
42,22,778,65,62,1090,4,34,30,578,881,441,595,899,1101,286,0,59,34,65,11,0,547,0,50,105,121,150,249,93,0,65,221,110,22,597,614,30,923,409,214,0,64,0,56,56,91,0,161,0,0,0,0,35,543,0,0,475,
81,13,762,64,68,1092,27,91,91,615,883,442,597,897,1065,286,0,47,47,61,87,0,575,0,108,130,115,118,209,123,0,61,225,19,13,594,647,91,871,458,151,0,38,0,38,38,84,0,181,0,0,0,0,44,571,0,0,531,
82,11,805,64,62,1079,22,104,102,571,889,448,605,844,976,284,0,50,149,63,58,0,539,0,137,130,112,121,214,113,0,63,221,111,11,604,646,165,872,477,177,0,88,0,72,72,88,0,247,0,0,0,0,50,521,13,0,501,
62,17,806,63,61,1122,10,66,32,646,881,442,594,827,1059,287,0,63,32,61,39,0,528,0,34,64,121,147,192,33,0,61,226,48,17,599,603,32,930,362,161,0,34,0,29,29,37,0,157,0,0,0,0,38,608,10,0,475,
112,15,724,61,65,1054,0,36,12,614,886,446,601,696,916,285,0,39,12,62,11,0,575,0,59,103,95,107,150,84,0,62,223,57,15,616,543,12,779,375,121,0,42,0,30,30,53,0,198,0,0,0,0,31,583,3,0,614,
91,11,724,67,62,1084,1,47,8,629,887,446,597,695,821,290,0,44,7,66,42,0,564,0,41,68,106,108,135,58,0,66,224,72,11,632,600,8,779,404,117,0,14,0,14,14,26,0,196,0,0,0,0,21,608,8,0,585,
141,16,584,61,66,1100,30,122,35,557,890,447,601,659,603,289,0,53,0,64,44,0,441,0,52,52,119,136,399,0,0,64,225,63,16,654,678,12,584,486,307,52,84,22,49,49,113,0,239,0,52,0,0,25,532,16,0,468,
111,16,670,66,64,1062,13,42,17,554,889,445,597,668,772,292,0,45,17,66,38,0,566,0,70,78,109,134,238,66,0,66,226,137,16,681,621,21,709,452,200,0,57,0,57,57,77,0,254,0,0,0,0,0,554,0,0,598,
101,15,743,61,65,1038,13,72,39,554,886,446,601,745,930,285,0,41,13,62,26,0,523,0,104,123,106,117,191,113,0,62,223,55,15,650,561,26,816,419,173,0,85,0,82,82,88,0,226,0,0,0,0,12,542,18,0,526,
172,14,626,61,69,1006,0,34,14,548,892,445,602,671,840,290,0,59,14,65,16,0,465,0,59,80,128,143,165,70,0,65,225,95,14,567,526,14,677,411,136,0,20,0,20,20,49,0,229,0,0,0,0,26,522,18,0,479,
161,16,633,64,61,1004,0,66,5,508,888,442,599,616,798,289,0,46,5,62,12,0,528,0,68,98,107,159,239,90,0,62,227,70,16,654,575,5,709,459,214,8,55,8,55,55,63,0,232,0,8,0,0,25,483,13,0,583,
