TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
2,0,0,0,0,0,9,0,0,0,0,0,0,44,52,0,0,26,0,0,0,0,0,0,29,0,0,6,9,0,0,0,0,120,0,0,0,0,11,0,0,0,33,9,0,0,18,0,102,0,0,0,0,0,0,599,0,0,
1,0,0,0,0,0,7,0,0,0,0,0,0,47,106,0,0,23,0,0,0,0,0,0,17,0,0,13,5,0,0,0,0,114,0,2,0,0,16,0,8,0,56,0,0,0,0,0,64,0,0,0,0,0,8,586,0,0,
11,0,9,0,0,0,0,0,0,0,0,0,0,71,82,0,0,0,0,0,0,0,0,0,29,0,0,22,0,0,0,0,0,133,0,6,0,0,6,0,16,0,58,21,0,0,0,0,85,0,0,0,0,0,0,564,0,0,
22,0,0,0,0,0,0,0,0,7,0,0,0,60,34,0,0,15,0,0,8,0,0,0,62,0,0,0,0,0,0,0,0,74,0,0,0,6,5,0,15,0,98,0,0,0,30,0,120,0,0,0,0,0,0,531,0,0,
32,0,0,0,0,0,0,0,0,0,0,0,0,54,23,0,0,16,0,0,0,0,0,0,75,0,0,2,5,0,0,0,0,114,0,0,0,9,0,2,8,0,48,24,0,0,0,0,138,0,0,0,0,0,0,565,0,0,
31,0,0,0,0,0,0,0,0,0,0,0,0,42,72,0,0,7,5,0,0,0,0,0,66,0,0,11,0,11,0,0,0,114,0,19,0,14,25,0,0,0,31,20,0,0,14,0,86,0,0,0,0,0,0,516,0,0,
52,0,0,0,0,0,7,5,0,12,0,0,0,79,67,0,0,0,0,0,0,0,0,0,69,0,0,3,13,0,0,0,0,113,0,22,0,0,17,0,0,0,48,0,11,0,0,0,99,0,0,0,0,0,0,511,0,0,
51,0,0,0,0,0,0,0,0,0,0,0,0,50,87,0,0,13,0,0,28,0,12,0,60,0,0,14,18,0,0,0,0,83,0,2,0,4,12,0,0,0,31,8,0,0,15,0,70,0,0,0,0,0,0,583,0,0,
12,0,0,0,0,0,0,7,0,8,0,0,0,108,58,0,0,6,0,0,0,0,0,0,16,7,2,12,9,0,0,0,0,74,0,10,0,0,27,2,5,0,54,0,0,0,0,0,106,0,0,0,0,0,0,578,0,0,
21,0,0,0,0,0,0,0,0,7,0,0,0,74,46,0,0,8,0,0,0,0,0,0,77,0,0,12,2,0,0,0,0,122,0,23,0,0,15,0,5,0,23,8,0,0,0,0,115,0,0,0,0,0,0,532,0,0,
