TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
1,13,758,69,63,1097,8,47,34,587,887,456,598,862,1074,289,0,63,41,62,37,0,539,0,84,105,119,115,184,90,0,62,227,79,13,491,631,34,877,421,130,0,43,0,18,14,27,10,194,10,0,0,0,35,552,0,0,453,
11,20,880,62,63,1089,29,47,58,673,892,445,597,1038,1238,295,0,45,59,65,28,0,609,0,81,121,108,128,297,104,0,65,230,68,20,583,571,69,1024,403,227,13,54,13,41,41,95,0,140,0,13,0,0,15,658,5,0,518,
2,13,739,67,66,1035,0,29,17,615,884,441,598,837,1006,286,0,56,17,63,0,0,543,0,40,72,122,143,235,50,0,63,223,47,13,671,525,17,832,374,214,0,29,0,26,26,47,0,166,0,0,0,0,40,575,7,0,546,
12,12,774,65,64,1061,7,43,33,552,893,451,606,741,969,287,0,57,45,64,21,0,425,0,49,99,121,130,219,56,0,64,223,120,12,506,610,33,853,449,173,5,47,10,18,18,61,0,210,0,0,0,0,23,529,0,0,410,
32,14,871,69,62,1090,18,102,99,646,886,442,594,911,1088,292,0,56,104,66,64,0,489,0,42,122,118,148,220,102,0,66,226,64,14,536,605,128,943,401,183,0,60,0,15,15,43,0,207,0,0,0,0,41,605,22,0,416,
41,11,605,62,63,979,0,75,68,526,885,444,601,734,837,284,0,40,39,62,20,0,486,0,45,70,103,120,240,66,0,62,222,106,11,548,516,56,682,422,196,0,85,7,54,54,87,0,202,0,0,0,0,68,458,0,0,440,
22,11,796,61,62,1044,27,101,77,554,896,448,607,779,998,289,0,39,61,64,76,0,467,0,85,106,101,109,244,75,0,64,225,109,11,533,591,67,905,461,221,18,82,18,58,58,55,0,247,0,9,0,0,8,546,0,0,409,
52,12,854,65,64,1113,33,122,114,621,890,447,599,958,1166,291,0,63,97,67,65,0,629,0,63,100,127,142,207,63,0,67,224,53,12,664,652,127,984,449,183,17,70,17,35,35,57,0,157,0,8,0,0,30,591,23,0,569,
62,16,758,61,63,1062,9,105,72,591,881,446,597,853,977,284,0,54,76,62,23,0,529,0,54,82,117,164,267,75,0,62,222,91,16,593,573,72,824,401,225,8,81,8,56,56,95,0,190,0,0,0,0,40,551,15,0,461,
71,18,713,64,61,1116,43,51,135,586,887,441,600,746,935,287,0,34,80,63,54,0,453,0,54,79,95,125,153,70,0,63,224,64,18,498,660,146,797,454,128,9,48,9,44,44,48,0,196,0,9,0,0,40,546,0,0,417,
72,13,845,61,70,1141,9,63,33,602,878,441,593,934,1188,285,0,51,33,62,15,0,600,0,87,140,104,117,197,112,0,62,223,57,13,582,665,42,1008,398,157,22,62,22,55,55,65,0,171,0,11,0,0,41,561,15,0,519,
