TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
1,0,6,0,0,0,0,0,0,14,0,0,0,80,65,0,0,6,0,0,0,0,12,0,33,8,14,18,0,0,0,0,0,110,0,0,0,7,8,0,10,0,53,0,0,8,26,10,130,0,0,0,0,0,0,450,0,22,
11,0,11,0,0,0,0,0,0,0,0,0,0,61,54,0,0,17,0,0,0,0,0,0,94,0,0,0,9,0,0,0,0,59,0,6,0,0,6,0,0,0,51,23,0,0,16,0,112,0,0,0,0,0,0,534,0,0,
2,0,0,0,0,0,0,8,0,0,0,0,0,52,36,0,0,11,9,0,0,0,0,0,59,0,0,0,15,0,0,0,0,130,0,3,0,0,16,0,0,0,45,6,0,0,0,0,107,0,0,0,0,0,0,591,0,0,
12,0,0,0,0,0,0,4,0,0,0,0,0,87,46,0,0,8,7,0,0,0,0,0,64,0,0,17,9,0,0,0,0,78,0,16,0,5,11,0,6,0,88,10,18,0,5,0,150,0,0,0,0,0,0,462,0,0,
32,0,0,0,0,0,0,13,0,0,0,0,0,66,29,0,0,13,6,0,22,0,0,0,101,0,0,14,9,0,0,0,0,125,0,10,0,5,6,12,0,0,40,23,0,0,0,0,73,0,0,0,0,0,0,502,0,0,
41,0,0,0,0,0,0,0,0,0,0,0,0,42,44,0,0,22,0,0,8,0,0,0,85,0,0,25,0,0,0,0,0,103,0,0,0,0,0,0,12,0,36,0,4,0,10,0,194,0,0,0,0,0,0,482,0,0,
22,0,0,0,0,0,9,0,0,8,0,0,0,85,50,0,0,22,0,0,0,0,15,0,40,0,0,3,0,0,0,0,0,95,0,11,0,0,10,0,0,0,78,0,0,0,0,0,125,0,0,0,0,0,0,503,0,7,
52,0,0,0,0,0,0,11,0,0,0,0,0,99,53,0,0,2,0,0,0,0,0,0,40,0,0,15,8,7,0,0,0,65,0,6,0,10,14,0,6,0,47,7,0,0,0,0,156,0,0,0,0,0,0,537,0,0,
62,0,0,0,0,0,0,0,0,0,0,0,0,72,77,0,0,7,0,0,0,0,0,0,60,0,0,7,20,0,0,0,0,80,0,0,0,11,0,0,0,0,61,13,0,0,0,0,149,0,0,0,0,0,0,527,0,0,
71,0,0,0,0,0,0,9,0,0,0,0,0,76,61,0,0,30,9,0,0,0,0,0,55,0,0,0,13,0,0,0,0,133,0,8,0,0,18,2,0,0,41,37,0,0,0,0,110,0,0,0,0,0,0,479,0,0,
72,0,0,0,0,0,0,0,0,0,0,0,0,91,62,0,0,10,0,0,0,0,0,0,67,0,27,7,7,11,0,0,0,76,0,6,0,0,34,26,0,0,44,14,0,0,22,0,131,0,0,0,0,0,0,491,0,0,
91,0,0,0,0,0,0,0,0,0,0,0,0,42,73,0,0,21,0,0,5,0,0,0,46,0,0,15,8,6,0,0,0,108,0,16,0,0,0,0,10,0,29,13,5,0,0,0,122,0,0,0,0,0,0,523,0,16,
42,0,0,0,0,0,0,0,0,10,0,0,0,51,57,0,0,6,0,0,0,0,0,0,32,0,0,0,19,0,0,0,0,74,0,7,0,0,10,8,25,0,35,15,0,0,0,0,109,0,0,0,0,0,0,610,0,0,
82,0,0,0,0,0,0,0,0,0,0,0,0,62,90,0,0,0,0,0,0,0,6,0,28,0,0,26,4,0,0,0,0,91,0,5,0,0,0,2,0,0,59,0,0,0,10,0,125,0,0,0,0,0,0,564,0,0,
101,0,0,0,0,0,0,0,0,0,0,0,0,94,50,0,0,18,0,0,0,0,0,0,28,0,0,10,15,0,0,0,0,119,0,7,0,0,8,0,5,0,84,0,0,0,0,0,155,0,0,0,0,0,0,488,0,0,
92,0,18,0,0,0,0,0,0,0,0,0,0,98,114,0,0,16,0,0,10,0,0,0,52,0,0,17,0,0,0,0,0,129,0,12,0,0,20,0,7,0,52,12,3,0,0,0,133,0,0,0,0,0,0,418,0,0,
31,0,0,0,0,0,0,9,2,0,0,0,0,60,26,0,0,9,0,0,0,0,24,0,47,0,0,11,2,0,0,0,0,109,0,8,0,0,0,0,0,0,55,17,5,0,10,0,176,0,0,0,0,0,0,518,0,0,
21,0,0,0,0,0,0,0,6,9,0,0,0,41,33,0,0,17,0,0,0,0,0,0,47,0,0,8,0,0,0,0,0,94,0,10,0,0,44,4,0,0,42,21,0,0,0,0,163,0,0,0,0,0,0,540,0,0,
51,0,0,0,0,0,12,0,0,0,0,0,0,91,57,0,0,20,0,0,0,0,0,0,50,0,2,3,0,0,0,0,0,90,0,23,0,8,11,0,6,0,36,8,4,0,0,0,134,0,0,0,0,0,0,496,0,0,
102,0,0,0,0,0,0,8,0,0,0,0,0,75,46,0,0,24,0,0,0,0,0,0,61,0,0,9,0,0,0,0,0,97,0,0,0,0,0,0,0,0,45,0,0,0,0,0,111,0,0,0,0,0,0,587,0,0,
112,0,0,0,0,0,0,0,0,5,0,0,0,74,79,0,0,41,0,0,10,0,0,0,63,0,0,0,7,0,0,0,0,87,0,9,0,0,30,10,0,0,71,10,0,0,0,0,104,0,0,0,0,0,0,490,0,0,
132,0,0,0,0,0,0,0,0,0,0,0,0,69,54,0,0,0,0,0,0,0,0,0,67,0,14,0,12,0,0,0,0,75,0,14,0,0,14,0,8,0,40,0,0,0,0,0,159,0,0,0,0,0,0,543,0,5,
142,0,0,0,0,0,0,0,0,13,0,0,0,126,65,0,0,15,0,0,0,0,12,0,20,0,10,7,6,0,0,0,0,148,0,24,0,11,10,0,0,0,53,14,0,0,0,0,131,0,0,0,0,0,0,435,0,0,
61,0,0,0,0,0,0,0,0,7,0,0,0,116,64,0,0,26,0,0,0,0,0,0,35,0,0,6,10,0,0,0,0,126,0,4,0,0,15,0,0,0,86,14,0,0,10,0,130,0,0,0,0,0,0,447,0,0,
111,0,0,0,0,0,9,0,0,0,0,0,0,34,50,0,0,13,0,0,0,0,16,0,22,0,0,6,0,0,0,0,0,100,0,66,0,8,20,12,0,0,28,9,0,10,0,0,158,0,0,0,0,12,0,533,0,0,
152,0,0,0,0,0,0,0,8,22,0,0,0,60,49,0,0,15,0,0,10,0,0,0,67,0,0,16,10,0,0,0,0,93,0,12,0,7,15,0,0,0,61,0,5,0,0,0,143,0,0,0,0,0,0,484,0,6,
162,0,0,0,0,0,0,0,0,7,0,0,0,82,35,0,0,35,0,0,0,0,8,0,75,0,2,8,2,0,0,0,0,95,0,12,0,8,0,0,0,0,28,0,0,8,0,0,124,0,0,0,0,0,0,543,0,0,
182,0,0,0,0,0,8,0,0,0,0,0,0,68,36,0,0,19,0,0,0,0,0,0,26,0,0,0,7,0,0,0,0,105,0,10,0,0,11,2,13,0,51,11,7,0,16,0,154,0,0,0,0,0,0,529,0,0,
172,0,10,0,0,0,0,0,0,0,0,0,0,75,33,0,0,5,12,0,0,0,0,0,26,0,8,21,0,0,0,0,0,130,0,7,0,0,13,0,0,0,36,0,0,0,0,0,88,0,0,0,0,0,0,570,0,8,
191,0,0,0,0,0,6,14,0,8,0,0,0,86,13,0,0,15,7,0,0,0,0,0,98,0,0,7,16,0,0,0,0,111,0,0,0,9,17,0,4,0,35,42,4,0,0,0,150,0,0,0,0,0,0,416,0,0,
141,0,12,0,0,0,9,0,0,0,0,0,0,88,26,0,0,5,0,0,0,0,7,0,65,0,0,10,0,10,0,0,0,82,0,0,0,15,0,0,0,0,63,10,4,0,0,0,106,0,0,0,0,0,0,541,0,11,
202,0,0,0,0,0,0,0,2,0,0,0,0,57,69,0,0,12,0,0,0,0,10,0,49,0,0,15,8,0,0,0,0,176,0,0,0,0,9,0,8,0,18,0,0,0,0,0,104,0,0,0,0,0,0,545,0,0,
192,0,0,0,0,0,0,6,0,0,0,0,0,99,62,0,0,12,0,0,14,0,0,0,23,0,0,0,16,0,0,0,0,108,0,16,0,0,9,0,11,0,32,24,0,0,16,0,135,0,0,0,0,0,0,491,0,0,
201,0,0,0,0,0,0,0,0,25,0,0,0,100,70,0,0,15,8,0,0,0,0,0,51,8,0,17,0,6,0,0,0,92,0,2,0,10,9,0,8,0,46,0,4,0,20,0,133,0,0,0,0,0,0,443,0,11,
102,0,0,0,0,0,0,0,0,0,0,0,0,54,62,0,0,9,0,0,22,0,0,0,37,11,0,0,13,0,0,0,0,147,0,13,0,0,17,0,4,0,23,0,0,0,10,0,83,0,0,0,0,0,0,581,0,0,
131,0,0,0,0,0,28,0,0,0,0,0,0,75,106,0,0,7,0,0,0,0,0,0,43,0,12,7,0,0,0,0,0,74,0,7,0,0,0,0,0,0,35,11,0,0,8,0,125,0,0,0,0,0,0,522,0,0,
112,0,0,0,0,0,0,0,0,0,0,0,0,36,63,0,0,27,0,0,0,0,0,0,54,0,0,8,0,12,0,0,0,98,0,10,0,0,32,0,0,0,45,8,0,0,0,0,58,0,0,0,0,0,5,610,0,0,
111,0,0,0,0,0,5,0,0,0,0,0,0,50,66,0,0,22,0,0,0,0,0,0,56,0,10,5,3,0,0,0,0,91,0,2,0,0,18,0,0,0,65,0,0,0,10,0,135,0,0,0,0,0,0,504,0,8,
131,0,0,0,0,0,0,0,0,0,0,0,0,103,82,0,0,16,0,0,0,0,2,0,58,0,0,26,6,0,0,0,0,55,0,6,9,14,0,0,15,0,61,0,0,2,0,10,65,0,0,0,0,0,0,536,0,0,
122,0,0,0,0,0,0,0,0,0,0,0,0,45,78,0,0,4,0,0,0,0,0,0,97,0,0,21,0,0,0,0,0,97,0,0,0,11,35,0,0,0,35,6,0,0,0,0,33,0,0,0,0,0,0,563,0,0,
81,0,0,0,0,0,0,0,0,7,0,0,5,45,42,0,0,10,3,0,0,0,0,0,53,0,0,0,0,0,0,0,0,95,0,28,0,0,0,0,0,0,113,8,0,0,0,0,125,0,0,0,0,0,0,533,0,0,
101,0,0,0,0,0,0,0,0,0,0,0,0,47,103,0,0,8,0,0,0,0,0,0,67,0,0,30,15,0,0,0,0,155,0,5,0,0,20,0,0,0,26,0,7,0,0,10,63,0,0,0,0,0,0,521,0,8,
121,0,0,0,0,0,0,0,0,0,0,0,0,77,70,0,0,11,0,0,0,0,0,0,89,0,0,20,0,0,0,0,0,67,0,13,0,0,21,2,0,0,56,0,0,4,0,0,98,0,10,0,0,0,0,554,0,0,
