TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
1,0.10,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
102,0.10,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
2,0.10,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
101,0.10,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
201,0.10,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
302,0.10,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
301,0.10,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
401,0.10,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
402,0.10,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
501,0.10,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
502,0.10,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
601,0.10,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
602,0.10,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
701,0.10,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
802,0.10,0.10,0.10,0.10,0.20,0.000000050,1000,0.00,
801,0.10,0.10,0.10,0.10,0.20,0.000000050,1000,0.00,
902,0.10,0.10,0.10,0.10,0.10,0.000000050,1000,0.00,
901,0.10,0.10,0.10,0.10,0.10,0.000000050,1000,0.00,
1001,0.10,0.10,0.10,0.10,0.00,0.000000050,1000,0.00,
1002,0.10,0.10,0.10,0.10,0.00,0.000000050,1000,0.00,
