TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
1,13,426,71,61,1236,0,0,0,600,290,1212,154,314,314,290,0,56,0,67,0,0,43,0,4,18,114,127,711,0,0,67,223,55,13,295,1437,0,69,487,275,18,0,213,0,0,579,809,217,1424,27,0,0,245,712,0,0,58,
102,14,411,63,67,1218,0,0,0,586,288,1235,154,292,292,288,0,57,0,67,0,0,58,0,0,0,124,125,763,0,0,67,221,34,14,278,1458,0,57,526,255,0,0,187,0,0,637,776,191,1411,0,0,0,235,705,0,0,71,
2,11,446,65,65,1144,0,0,0,580,291,1190,157,303,303,291,0,58,0,69,0,0,86,0,11,0,123,118,699,0,0,69,222,16,11,312,1343,0,60,488,265,0,0,200,0,0,562,757,238,1349,0,0,0,246,720,10,0,95,
101,11,403,64,62,1117,0,0,0,536,286,1223,151,286,286,286,0,39,0,65,0,0,58,0,16,8,101,104,637,0,0,65,221,73,11,282,1324,0,52,491,241,16,0,184,0,0,512,849,227,1480,16,0,0,234,653,0,0,72,
201,14,433,61,64,1125,0,0,0,532,285,1201,159,274,274,285,0,49,0,61,0,0,92,0,23,0,113,127,651,0,0,61,224,94,14,274,1345,0,54,504,252,0,0,128,0,0,482,769,235,1366,0,0,0,220,691,7,0,79,
302,18,432,67,66,1201,0,0,0,593,284,1275,158,304,304,284,0,42,0,63,0,0,26,0,14,0,108,115,653,0,0,63,221,54,18,287,1417,0,36,498,244,0,0,196,0,0,521,826,195,1496,0,0,0,268,721,0,0,55,
301,12,472,65,63,1179,0,0,0,580,283,1226,156,277,283,283,0,65,0,62,0,0,97,0,23,0,128,117,563,0,0,62,221,58,12,263,1431,0,87,534,202,0,0,130,0,0,456,757,205,1386,0,0,0,196,768,0,0,91,
401,11,367,64,61,1125,0,0,0,519,286,1202,153,261,261,286,0,35,0,62,0,0,59,0,18,0,88,99,577,0,0,62,224,63,11,261,1323,0,65,482,226,0,0,135,0,0,466,884,278,1488,0,0,0,196,625,6,0,69,
402,14,402,62,61,1140,0,0,0,595,288,1198,155,294,294,288,0,50,0,66,0,0,97,0,7,0,111,120,667,0,0,66,222,77,14,306,1330,0,31,475,254,0,0,176,0,0,544,832,253,1430,0,0,0,264,702,18,0,115,
501,16,397,65,64,1119,0,0,0,623,286,1200,152,301,301,286,0,48,0,64,0,0,95,0,10,0,111,111,669,0,0,64,222,53,16,369,1289,0,16,456,261,0,0,192,0,0,539,857,221,1460,0,0,0,285,719,16,0,160,
502,13,389,70,65,1170,0,0,0,584,288,1172,151,309,309,288,0,45,0,62,0,0,60,0,13,0,110,106,674,0,0,62,226,43,13,341,1300,0,40,415,269,0,0,164,0,0,537,873,280,1452,0,0,0,269,664,11,0,106,
601,12,416,68,62,1173,0,0,0,564,286,1246,161,301,301,286,0,50,0,65,0,0,44,0,0,0,112,124,693,0,0,65,221,78,12,209,1375,0,74,486,208,7,0,227,0,0,622,841,210,1480,0,0,0,227,679,0,0,35,
602,11,454,66,65,1171,0,0,0,559,282,1149,151,301,301,282,0,58,0,61,0,0,72,0,21,0,123,125,641,0,0,61,221,63,11,300,1361,0,70,470,242,0,0,181,0,0,512,740,212,1297,0,0,0,231,712,0,0,89,
701,14,402,64,65,1118,0,0,0,557,288,1188,151,275,285,288,0,64,0,64,0,0,77,0,29,0,128,136,644,0,0,64,224,83,14,281,1303,0,46,470,251,0,0,140,0,0,494,869,250,1460,0,0,0,239,674,0,0,77,
802,11,448,65,65,1200,0,0,0,640,291,1258,154,329,329,291,0,31,0,64,0,0,101,0,23,0,95,101,689,0,0,64,227,64,11,282,1407,0,70,497,237,0,0,180,0,0,577,784,200,1442,0,0,0,259,759,0,0,99,
801,15,378,61,63,1134,0,0,0,580,285,1183,155,296,301,285,0,54,0,61,0,0,126,0,10,0,117,126,676,0,0,61,224,53,15,314,1303,0,58,452,259,0,0,194,0,0,550,820,289,1400,0,0,0,243,657,13,0,147,
902,15,372,62,65,1121,0,0,0,591,286,1196,151,281,290,286,0,62,0,63,0,0,44,0,20,0,127,131,563,0,0,63,223,66,15,256,1317,0,37,478,217,0,0,144,0,0,453,743,214,1343,0,0,0,253,673,5,0,34,
901,17,405,64,62,1166,0,0,0,554,288,1234,151,283,283,288,0,64,0,64,0,0,50,0,0,0,124,138,679,0,0,64,224,92,17,326,1370,0,75,491,259,0,0,170,0,0,547,861,238,1500,0,0,0,208,676,11,0,74,
1001,15,423,67,64,1124,0,0,0,559,285,1208,151,295,295,285,0,51,0,61,0,0,96,0,32,0,115,116,627,0,0,61,224,56,15,290,1321,0,59,480,232,0,0,156,0,0,511,849,216,1458,0,0,0,236,687,14,0,100,
1002,18,398,63,63,1143,0,0,0,561,286,1196,156,284,284,286,0,25,0,65,0,0,45,0,16,0,88,106,632,0,0,65,221,78,18,260,1364,0,58,506,219,0,0,168,0,0,527,770,239,1359,0,0,0,226,675,0,0,67,
