TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,77,0,6,0,14,0,0,0,0,171,0,17,0,0,0,19,0,0,0,15,0,0,66,0,419,0,0,0,0,0,0,252,0,10,
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,46,0,0,13,42,0,0,0,0,166,0,10,0,0,0,4,7,0,0,46,0,0,59,0,468,0,0,0,0,0,0,235,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,12,0,55,0,0,24,0,0,0,0,0,250,0,0,0,0,0,4,0,0,0,33,0,0,78,0,364,0,0,0,0,0,0,255,0,0,
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,58,0,0,8,0,0,0,0,0,163,0,2,0,0,0,4,5,0,0,18,0,0,56,0,453,0,0,0,0,0,0,253,0,0,
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,90,0,0,0,16,0,0,0,0,150,0,14,0,0,0,2,14,0,0,11,0,0,35,0,497,0,0,0,0,0,0,237,0,0,
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,59,0,0,11,2,0,0,0,0,163,0,0,0,0,0,4,6,0,0,20,0,0,86,0,470,0,0,0,0,0,0,258,0,0,
301,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,82,0,0,29,9,0,0,0,0,162,0,4,0,0,0,10,0,0,0,33,0,0,35,0,453,0,0,0,0,0,2,236,0,0,
401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,63,0,8,0,28,0,0,0,0,211,0,3,0,0,0,12,0,0,0,47,0,0,20,0,420,0,0,0,0,0,0,217,0,0,
402,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,102,0,0,5,19,0,0,0,0,170,0,18,0,0,0,18,0,0,0,15,0,0,45,0,418,0,0,0,0,0,0,224,0,0,
501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,52,0,2,16,0,0,0,0,0,183,0,0,0,0,0,0,6,0,0,26,0,0,78,0,441,0,0,0,0,0,0,273,0,0,
502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,38,0,0,17,26,0,0,0,0,262,0,20,0,0,0,6,0,0,0,43,0,0,32,0,354,0,0,0,0,0,0,270,0,0,
601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,61,0,0,0,24,0,0,0,0,149,0,6,0,0,0,4,0,0,0,60,0,0,86,0,483,0,7,0,0,0,0,187,0,0,
602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,66,0,0,9,7,0,0,0,0,149,0,9,0,0,0,4,0,0,0,21,0,0,72,0,435,0,0,0,0,0,0,255,0,0,
701,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,76,0,2,6,26,0,0,0,0,158,0,6,0,0,0,18,10,0,0,31,0,0,34,0,443,0,0,0,0,0,0,240,0,0,
802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,70,0,2,5,2,0,0,0,0,143,0,20,0,0,0,9,0,0,0,61,0,0,55,0,436,0,0,0,0,0,0,247,0,0,
801,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,113,0,0,6,8,0,0,0,0,237,0,4,0,0,0,11,0,0,0,30,0,0,69,0,376,0,0,0,0,0,0,210,0,0,
902,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,70,0,0,11,20,0,0,0,0,155,0,0,5,0,0,16,0,0,0,39,0,0,43,0,452,0,0,0,0,0,0,251,0,0,
901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,45,0,4,3,11,0,0,0,3,159,0,0,0,0,0,12,8,0,0,36,0,0,51,0,484,0,0,0,0,0,0,282,0,0,
1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,84,0,0,18,10,0,0,0,0,173,0,0,0,0,0,4,8,0,0,42,0,0,32,0,437,0,0,0,0,0,0,235,0,0,
1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,175,0,2,0,0,0,2,0,0,0,52,0,0,62,0,468,0,0,0,0,0,0,228,0,0,
