TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
311,11,404,72,62,1149,0,0,0,552,283,1259,152,276,276,283,0,72,0,61,0,0,82,0,71,0,117,128,708,0,0,61,222,230,11,324,1369,0,52,506,283,0,0,207,0,0,611,856,662,1521,0,0,0,224,680,265,0,99,
302,14,406,67,67,1187,0,0,0,543,289,1178,152,287,287,289,0,67,0,65,0,0,110,0,67,0,124,138,608,0,0,65,224,255,14,271,1415,0,66,530,202,0,0,213,0,0,554,772,727,1354,0,0,0,221,662,241,0,115,
1,14,457,66,67,1215,0,0,0,519,291,1172,153,273,273,291,0,66,0,62,0,0,87,0,77,0,130,144,658,0,0,62,229,240,14,302,1450,0,67,534,265,0,0,205,0,0,575,732,678,1310,0,0,0,206,703,240,0,92,
11,16,355,65,68,1099,0,0,0,544,287,1125,154,280,280,287,0,65,0,62,0,0,62,0,76,0,133,149,664,0,0,62,225,273,16,327,1277,0,32,475,251,0,0,193,0,0,556,819,688,1341,0,0,0,248,619,274,0,110,
12,15,469,65,67,1239,0,0,0,618,288,1221,153,319,319,288,0,65,0,65,0,0,143,0,148,9,111,128,740,0,0,65,223,220,15,329,1435,0,86,492,241,18,0,230,0,0,674,800,645,1421,18,0,0,233,768,247,0,152,
2,13,408,66,68,1126,0,0,0,545,287,1266,154,286,286,287,0,66,0,62,0,0,53,0,46,0,124,137,625,0,0,62,225,213,13,277,1343,0,60,505,245,0,0,214,0,0,552,851,694,1519,0,0,0,226,667,260,0,51,
21,14,492,66,63,1167,0,0,0,550,288,1216,156,296,296,288,0,66,0,63,0,0,38,0,93,0,120,134,620,0,0,63,225,233,14,287,1336,0,125,464,247,0,0,209,0,0,511,905,671,1521,0,0,0,171,746,246,0,51,
22,14,521,65,66,1201,0,0,0,715,291,1171,156,342,342,291,0,65,0,67,0,0,102,0,86,0,116,132,694,0,0,67,224,197,14,291,1395,0,75,476,231,0,0,228,0,0,589,764,592,1338,0,0,0,267,894,269,0,105,
31,16,388,66,66,1157,0,0,0,550,286,1221,151,285,285,286,0,66,0,62,0,0,82,0,77,0,120,136,650,0,0,62,224,235,16,297,1407,0,56,537,239,0,0,159,0,0,538,755,675,1384,0,0,0,229,653,236,0,94,
51,20,510,65,71,1179,0,0,0,644,292,1179,151,329,329,292,0,65,0,65,0,0,81,0,54,0,113,133,790,0,0,65,227,232,20,345,1331,0,108,460,280,9,0,276,0,0,706,846,614,1428,9,0,0,221,825,287,0,99,
41,14,436,65,63,1172,0,0,0,584,289,1231,161,296,296,289,0,65,0,64,0,0,57,0,34,0,120,134,619,0,0,64,225,228,14,302,1389,0,75,507,246,0,0,230,0,0,538,805,635,1434,0,0,0,221,724,289,0,68,
71,14,333,64,63,1105,0,0,0,552,290,1226,156,283,283,290,0,64,0,66,0,0,98,0,104,0,98,112,627,0,0,66,224,253,14,263,1318,0,28,509,235,0,0,188,0,0,572,802,727,1427,0,0,0,255,602,238,0,79,
61,19,395,63,62,1155,0,0,0,544,285,1181,151,286,286,285,0,63,0,61,0,0,64,0,78,5,122,118,637,0,0,61,224,200,19,333,1377,0,59,509,252,10,0,186,0,0,539,793,625,1379,10,0,0,227,653,277,0,99,
42,12,484,63,66,1244,0,0,0,564,296,1277,153,303,303,296,0,63,0,72,0,0,141,0,95,0,116,120,615,0,0,72,224,229,12,318,1466,0,107,528,238,0,0,177,0,0,521,872,654,1550,0,0,0,196,745,267,0,149,
82,11,424,64,61,1226,0,0,0,622,290,1180,153,298,308,290,0,64,0,66,0,0,61,0,96,0,104,115,544,0,0,66,224,223,11,268,1438,0,59,513,213,0,0,187,0,0,498,735,679,1314,0,0,0,249,738,217,0,71,
92,18,426,68,69,1175,0,0,0,617,294,1219,155,315,315,294,0,68,0,63,0,0,72,0,88,10,130,131,662,0,0,63,231,263,18,320,1329,0,62,449,243,15,0,222,0,0,572,879,657,1494,20,0,0,253,728,283,0,92,
102,16,450,61,63,1114,0,0,0,603,293,1224,155,305,305,293,0,61,0,61,0,0,58,0,68,0,113,129,735,0,0,61,232,229,16,305,1309,0,66,489,264,0,0,237,0,0,656,910,673,1532,0,0,0,239,748,246,0,79,
81,12,433,66,65,1288,0,0,0,653,292,1243,151,321,326,292,0,66,0,65,0,0,68,0,95,10,130,126,662,0,0,65,227,204,12,301,1511,0,46,523,249,28,0,241,0,0,587,788,580,1437,20,0,0,280,760,249,0,81,
52,15,473,64,68,1156,0,0,0,541,290,1203,155,303,303,290,0,64,0,63,0,0,63,0,85,0,133,157,588,0,0,63,227,238,15,287,1376,0,87,522,222,0,0,203,0,0,509,817,707,1421,0,0,0,216,711,258,0,92,
32,12,435,65,69,1209,0,0,0,565,296,1222,158,308,308,296,0,65,0,68,0,0,108,0,76,0,129,127,692,0,0,68,228,247,12,404,1413,0,73,505,275,0,0,219,0,0,595,805,645,1421,0,0,0,235,692,322,0,150,
101,18,475,63,66,1173,0,0,0,664,287,1226,161,336,336,287,0,63,0,65,0,0,94,0,94,0,114,132,665,0,0,65,222,250,18,349,1338,0,46,454,293,0,0,207,0,0,563,862,633,1484,0,0,0,290,803,297,0,110,
62,12,432,63,63,1189,0,0,0,592,288,1231,153,290,290,288,0,63,0,65,0,0,106,0,139,11,114,131,610,0,0,65,223,270,12,266,1381,0,65,490,232,22,0,192,0,0,534,894,685,1522,22,0,0,225,734,204,0,114,
