TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
311,11,404,72,62,1149,0,0,0,552,283,1259,152,276,276,283,0,55,0,61,0,0,82,0,7,0,117,128,708,0,0,61,222,52,11,315,1369,0,52,500,269,0,0,186,0,0,578,856,215,1521,0,0,0,224,680,0,0,99,
302,14,406,67,67,1187,0,0,0,543,289,1178,152,287,287,289,0,57,0,65,0,0,110,0,21,0,124,131,589,0,0,65,224,123,14,271,1415,0,66,515,202,0,0,153,0,0,482,772,263,1354,0,0,0,221,662,0,0,115,
1,14,457,66,67,1215,0,0,0,519,291,1172,153,273,273,291,0,63,0,62,0,0,87,0,17,0,130,136,658,0,0,62,229,46,14,277,1450,0,67,526,253,0,0,173,0,0,528,732,238,1310,0,0,0,206,703,0,0,80,
11,16,355,65,68,1099,0,0,0,544,287,1125,154,280,280,287,0,65,0,62,0,0,62,0,34,0,133,138,652,0,0,62,225,68,16,319,1277,0,32,464,251,0,0,147,0,0,519,819,279,1341,0,0,0,248,619,0,0,103,
12,15,469,65,67,1239,0,0,0,618,288,1221,153,319,319,288,0,44,0,65,0,0,143,0,28,9,111,118,740,0,0,65,223,73,15,329,1435,0,86,476,241,18,0,184,0,0,631,800,214,1421,18,0,0,233,768,15,0,152,
2,13,408,66,68,1126,0,0,0,545,287,1266,154,286,286,287,0,56,0,62,0,0,53,0,12,0,124,126,606,0,0,62,225,57,13,265,1343,0,60,503,220,0,0,191,0,0,507,851,198,1519,0,0,0,226,667,0,0,51,
21,14,492,66,63,1167,0,0,0,550,288,1216,156,296,296,288,0,57,0,63,0,0,38,0,20,0,120,121,606,0,0,63,225,66,14,266,1336,0,125,455,241,0,0,149,0,0,483,905,226,1521,0,0,0,171,746,6,0,51,
22,14,521,65,66,1201,0,0,0,715,291,1171,156,337,342,291,0,50,0,67,0,0,102,0,37,0,116,121,678,0,0,67,224,29,14,291,1384,0,75,472,209,0,0,121,0,0,553,764,188,1338,0,0,0,267,894,0,0,105,
31,16,388,66,66,1157,0,0,0,550,286,1221,151,285,285,286,0,54,0,62,0,0,82,0,12,0,120,124,632,0,0,62,224,78,16,279,1407,0,56,535,239,0,0,143,0,0,476,755,214,1384,0,0,0,229,653,0,0,94,
51,20,510,65,71,1179,0,0,0,644,292,1179,151,329,329,292,0,42,0,65,0,0,70,0,15,0,113,133,790,0,0,65,227,43,20,340,1331,0,108,437,270,9,0,205,0,0,668,846,227,1428,0,0,0,221,825,0,0,99,
